bins	taxon	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
AG_349_G23	Unknown	2821016	64	92825	31.27376874736603	85.91549295774648	91.54929577464789
AG_404_D14	Unknown	3141720	108	54669	31.814860821590095	88.73239436619718	88.73239436619718
AG_422_K10	Unknown	2768778	90	76495	31.79039010246874	87.32394366197182	92.95774647887323
AG_893_K05	Unknown	3033234	36	208742	31.515741227042405	95.77464788732394	98.59154929577464
AH_321_C14	Unknown	3053172	88	95958	30.673799159251548	92.95774647887323	95.77464788732394
AS9601	Unknown	3339772	2	1669886	31.326632152582413	97.1830985915493	100.0
CCMP1375	Unknown	3502160	2	1751080	36.43943056299331	97.1830985915493	100.0
EQPAC1	Unknown	3309478	16	328627	30.88243084848011	97.1830985915493	100.0
GP2	Unknown	3248620	22	416038	31.27452888338993	97.1830985915493	100.0
JFKN01	Unknown	2215478	756	39121	30.62718650443409	71.83098591549296	71.83098591549296
JFKO01	Unknown	938882	470	17350	31.981872822873814	32.394366197183096	40.84507042253521
JFKP01	Unknown	1869362	996	13795	31.53313253551338	46.478873239436616	52.11267605633803
JFKQ01	Unknown	2637654	574	144135	31.211406807652192	83.09859154929578	83.09859154929578
JFKR01	Unknown	2266906	1046	95932	31.07506153194373	53.521126760563384	59.15492957746479
JFKS01	Unknown	978290	374	16260	31.10943361887409	26.760563380281692	26.760563380281692
JFKT01	Unknown	2542464	346	76651	31.20407801075245	39.436619718309856	45.070422535211264
JFKU01	Unknown	2217104	542	50331	31.82893274605833	46.478873239436616	49.29577464788732
JFKV01	Unknown	1158086	168	124348	30.810914855099014	22.535211267605632	25.35211267605634
JFKW01	Unknown	2341662	942	72752	31.705557810150115	53.521126760563384	59.15492957746479
JFKX01	Unknown	2296582	318	83546	31.53151486203542	43.66197183098591	46.478873239436616
JFKY01	Unknown	2381050	598	30724	31.50827986089762	80.28169014084507	94.36619718309859
JFKZ01	Unknown	1954382	366	72497	31.303152389288513	35.2112676056338	38.028169014084504
JFLA01	Unknown	3035490	412	92456	31.113007272686332	92.95774647887323	95.77464788732394
JFLB01	Unknown	2953876	642	78302	31.352276821009557	94.36619718309859	108.45070422535211
JFLC01	Unknown	2929780	648	106783	31.495013220879525	90.14084507042253	104.22535211267606
JFLD01	Unknown	2366172	652	46814	31.08284706263762	73.2394366197183	76.05633802816901
JFLE01	Unknown	3155092	332	170424	32.855983334952434	74.64788732394366	80.28169014084507
JFLF01	Unknown	2896178	674	45830	31.322284219158682	87.32394366197182	92.95774647887323
JFLG01	Unknown	3060112	288	140503	31.789474937872225	87.32394366197182	92.95774647887323
JFLH01	Unknown	2289012	450	49091	31.155055660296927	78.87323943661971	81.69014084507042
JFLI01	Unknown	2756878	664	54917	31.10775339747453	88.73239436619718	100.0
JFLJ01	Unknown	3063372	464	69227	30.89961363320303	91.54929577464789	91.54929577464789
JFLK01	Unknown	2208268	562	98799	31.90696773793469	0.0	0.0
JFLL01	Unknown	2928592	590	96419	30.723308638295272	91.54929577464789	94.36619718309859
JFLM01	Unknown	2960618	600	78814	31.639605673906907	90.14084507042253	92.95774647887323
JFLN01	Unknown	3213626	374	252660	31.947740795956197	97.1830985915493	100.0
JFLO01	Unknown	3022906	340	114818	30.91206674970639	94.36619718309859	100.0
JFLP01	Unknown	2676462	410	84598	31.18765166316626	90.14084507042253	92.95774647887323
JFLQ01	Unknown	3202104	360	143513	31.071158189543052	92.95774647887323	95.77464788732394
JFLR01	Unknown	1902046	768	42841	31.601998270101088	74.64788732394366	77.46478873239437
JFLS01	Unknown	2611288	298	114765	31.620374114107648	88.73239436619718	91.54929577464789
JFLT01	Unknown	2455708	422	200938	30.192791763723758	90.14084507042253	90.14084507042253
JFLU01	Unknown	2905904	774	125614	31.09106021853057	87.32394366197182	92.95774647887323
JFLV01	Unknown	740384	462	11568	31.746667403594337	47.88732394366197	50.70422535211268
JFLW01	Unknown	3240274	248	159500	29.88193950890363	95.77464788732394	98.59154929577464
JFLX01	Unknown	3138710	286	112037	30.73836014438654	97.1830985915493	100.0
JFLY01	Unknown	2868792	528	62733	31.890215077938745	88.73239436619718	91.54929577464789
JFLZ01	Unknown	1802066	736	19183	31.199093918010856	45.070422535211264	50.70422535211268
JFMA01	Unknown	2384512	1038	38846	30.95071565154975	74.64788732394366	83.09859154929578
JFMB01	Unknown	1972074	540	52759	30.84129307009266	66.19718309859155	74.64788732394366
JFMC01	Unknown	2879876	484	83207	31.557430887121797	92.95774647887323	95.77464788732394
JFMD01	Unknown	2195658	822	53091	31.128845920504038	64.78873239436619	70.4225352112676
JFME01	Unknown	2756630	592	93915	31.295375782345737	91.54929577464789	97.1830985915493
JFMF01	Unknown	1954820	980	24519	30.72755317351356	40.84507042253521	46.478873239436616
JFMG01	Unknown	2907928	754	47318	30.872435480701764	92.95774647887323	98.59154929577464
JFMH01	Unknown	1104406	308	53126	32.21480428830573	35.2112676056338	43.66197183098591
JFMI01	Unknown	2041596	272	133204	31.317141845770447	69.01408450704226	71.83098591549296
JFMJ01	Unknown	2803504	532	112061	31.868990409779773	90.14084507042253	92.95774647887323
JFMK01	Unknown	1351488	318	81902	32.17008172997149	25.35211267605634	28.169014084507044
JFML01	Unknown	2945080	510	75535	30.99201893467704	94.36619718309859	94.36619718309859
JFMM01	Unknown	2952272	374	126314	31.255318859711682	88.73239436619718	88.73239436619718
JFMN01	Unknown	2473214	628	77279	31.339264541180118	46.478873239436616	49.29577464788732
JFMO01	Unknown	2954456	562	114177	30.647088492062014	83.09859154929578	85.91549295774648
JFMP01	Unknown	2797630	840	67606	31.50998358333572	87.32394366197182	92.95774647887323
JFMQ01	Unknown	2108584	650	39460	31.286793718435717	70.4225352112676	84.50704225352112
JFMR01	Unknown	3179710	334	128822	30.70991285519753	97.1830985915493	102.8169014084507
JFMS01	Unknown	1721938	702	20862	30.7878319732524	67.6056338028169	76.05633802816901
JFMT01	Unknown	2697128	762	87017	31.657646169176978	78.87323943661971	87.32394366197182
JFMU01	Unknown	1899302	326	62417	31.409514880304112	26.760563380281692	29.577464788732396
JFMV01	Unknown	2824578	252	166606	31.00371449433832	84.50704225352112	87.32394366197182
JFMW01	Unknown	1815236	890	36285	30.961080995931262	60.563380281690144	66.19718309859155
JFMX01	Unknown	2920852	286	235357	31.059766212856715	95.77464788732394	98.59154929577464
JFMY01	Unknown	2864508	516	89994	31.610442984393462	91.54929577464789	94.36619718309859
JFMZ01	Unknown	3250548	272	209203	31.39481166254891	87.32394366197182	95.77464788732394
JFNA01	Unknown	2745396	556	47875	31.063007776585444	87.32394366197182	92.95774647887323
JFNC01	Unknown	2654768	762	189484	31.25704447742603	94.36619718309859	97.1830985915493
JFND01	Unknown	2737076	616	58976	30.881356887063905	91.54929577464789	100.0
JFNE01	Unknown	2764954	852	68855	31.391420359105748	81.69014084507042	87.32394366197182
JFNF01	Unknown	2810324	670	57629	31.372009376614347	94.36619718309859	97.1830985915493
JFNG01	Unknown	2939986	462	154454	31.57023348933094	88.73239436619718	97.1830985915493
JFNH01	Unknown	2299126	444	89767	30.91413693031203	85.91549295774648	91.54929577464789
JFNI01	Unknown	1397878	194	67479	31.187654892000634	0.0	0.0
JFNJ01	Unknown	2732348	634	86170	30.311173558630784	84.50704225352112	90.14084507042253
JFNK01	Unknown	2819706	852	68708	31.737458478165504	92.95774647887323	95.77464788732394
JFNL01	Unknown	2436170	818	52993	31.852262936660864	88.73239436619718	91.54929577464789
JFNM01	Unknown	2620466	714	65262	31.961446017540236	84.50704225352112	90.14084507042253
JFNN01	Unknown	2863412	618	121317	30.66699679395614	91.54929577464789	100.0
JFNO01	Unknown	2568892	476	62842	30.94165800575616	64.78873239436619	70.4225352112676
JFNP01	Unknown	2528944	410	108576	30.952584709166963	91.54929577464789	102.8169014084507
JFNQ01	Unknown	2861350	948	43612	30.70345609747679	90.14084507042253	104.22535211267606
JFNR01	Unknown	2039676	580	78414	32.03416488762437	50.70422535211268	56.33802816901409
JFNS01	Unknown	2273640	676	53274	31.75049633172114	78.87323943661971	87.32394366197182
JFNT01	Unknown	2707398	490	94453	30.621034254215733	90.14084507042253	92.95774647887323
JFNU01	Unknown	2907256	474	163632	30.584133107569166	94.36619718309859	97.1830985915493
JFNV01	Unknown	801950	162	76115	30.714611590424205	0.0	0.0
JFNW01	Unknown	2321088	660	50640	31.178387314722794	71.83098591549296	71.83098591549296
JFNX01	Unknown	3110190	436	88232	30.93226703395272	91.54929577464789	102.8169014084507
JFNY01	Unknown	1933666	878	42407	31.355395892189442	52.11267605633803	57.74647887323944
JFNZ01	Unknown	2965838	658	149538	30.95263521099137	88.73239436619718	97.1830985915493
JFOA01	Unknown	2285420	522	41381	31.86651188187644	30.985915492957748	39.436619718309856
JFOB01	Unknown	1243798	884	10263	31.615556628824105	0.0	0.0
JFOC01	Unknown	1661212	850	27902	31.307380400444902	69.01408450704226	80.28169014084507
JFOD01	Unknown	3032728	278	211521	30.71769505677868	97.1830985915493	102.8169014084507
JFOE01	Unknown	1790880	692	21201	31.408489380649378	60.563380281690144	66.19718309859155
LG	Unknown	3508126	28	326623	36.43953983568709	97.1830985915493	100.0
MED4	Unknown	3315980	2	1657990	30.7822769582418	97.1830985915493	100.0
MIT9107	Unknown	3399874	26	170362	31.226640780665267	97.1830985915493	100.0
MIT9116	Unknown	3370796	44	117620	30.90172834126043	97.1830985915493	100.0
MIT9123	Unknown	3395496	36	137374	30.965500929571483	97.1830985915493	100.0
MIT9201	Unknown	3344832	42	145955	31.28149388965824	97.1830985915493	100.0
MIT9202	Unknown	3382906	2	1691453	31.111183683739153	95.77464788732394	98.59154929577464
MIT9211	Unknown	3377926	2	1688963	38.003547489025074	98.59154929577464	101.40845070422536
MIT9215	Unknown	3477580	2	1738790	31.14807106078075	95.77464788732394	98.59154929577464
MIT9301	Unknown	3283758	2	1641879	31.322820330336587	97.1830985915493	100.0
MIT9302	Unknown	3490686	34	242124	31.340874304966466	97.1830985915493	100.0
MIT9303	Unknown	5365350	2	2682675	49.98028420696604	98.59154929577464	101.40845070422536
MIT9311	Unknown	3422128	34	189094	31.42332850311385	97.1830985915493	102.8169014084507
MIT9312	Unknown	3418408	2	1709204	31.215076632786065	97.1830985915493	100.0
MIT9313	Unknown	4821746	2	2410873	50.7441029760299	98.59154929577464	101.40845070422536
MIT9314	Unknown	3381112	32	221824	31.30049286280887	97.1830985915493	100.0
MIT9321	Unknown	3317328	20	259210	31.229529541583112	97.1830985915493	100.0
MIT9322	Unknown	3315100	22	367597	31.32980079882693	97.1830985915493	100.0
